epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1455,1.39732,3.12874,1.32862,0.009,0.96429,0.01155,0.00688,1.05365,3.32362,1.32902,0.000333333,0.000333333,0.000333333
2,67.0741,1.26029,2.53744,1.1103,0.00933,1,0.82985,0.49929,1.04613,2.96616,1.04189,0.000802,0.000802,0.000802
3,83.5941,1.40161,1.80555,1.20919,0.00933,1,0.82985,0.49929,1.04613,2.96616,1.04189,0.00100667,0.00100667,0.00100667
4,97.4394,1.33064,2.30439,1.19327,0.00933,1,0.96552,0.61754,1.09436,2.53233,0.99032,0.000812,0.000812,0.000812
5,113.619,1.21023,1.92025,1.22377,0.00933,1,0.96552,0.61754,1.09436,2.53233,0.99032,0.000416,0.000416,0.000416
